0,javascript,200939
1,php,50102
2,20,36018
3,http,26822
4,1,23810
5,202,20728
6,192,20346
7,168,20344
8,8080,20031
9,script,15461
10,path,12063
11,24,11815
12,118,11658
13,26,11492
14,cgi,11161
15,jsp,10775
16,2,9808
17,index,9503
18,96,8571
19,examples,8284
20,20sleep,7939
21,3b,7247
22,0,7165
23,3d,7144
24,0a,7030
25,7d,6819
26,html,6555
27,7c,6499
28,echo,6472
29,bin,6342
30,admin,6338
31,inc,6292
32,3,6283
33,gifts,6018
34,alert,6014
35,nasl,5923
36,tar,5834
37,logo,5528
38,lib,5471
39,site,5412
40,txt,5209
41,the,5185
42,201,5097
43,4,5078
44,29,5015
45,cookie,4983
46,config,4824
47,img,4807
48,c,4733
49,main,4592
50,5b,4557
51,5d,4547
52,28echo,4536
53,passwd,4404
54,a,4328
55,meta,4277
56,etc,4270
57,class,4215
58,27,4158
59,id,4126
60,cross,4105
61,information,4028
62,scripting,4019
63,pl,3971
64,en,3916
65,src,3905
66,gz,3882
67,bz2,3876
68,exe,3839
69,200,3723
70,v1,3679
71,content,3635
72,sql,3631
73,test,3627
74,dir,3579
75,top,3544
76,root,3529
77,asp,3510
78,ne,3455
79,7b,3408
80,20str,3402
81,20str1,3402
82,23str,3402
83,7bstr1,3402
84,x,3346
85,include,3287
86,php3,3284
87,dll,3278
88,s,3244
89,document,3212
90,of,3189
91,error,3188
92,base,3188
93,file,3148
94,log,3142
95,classes,3130
96,phpmyadmin,3125
97,5,3085
98,rfiurl,3082
99,home,3066
100,com,3053
101,rss,3044
102,news,3034
103,db,3033
104,core,3032
105,download,2973
106,small,2954
107,rem,2924
108,cfm,2918
109,doc,2917
110,scripts,2912
111,js,2906
112,net,2890
113,thumb,2863
114,stuff,2828
115,aspx,2807
116,page,2798
117,xml,2780
118,us,2767
119,do,2714
120,ini,2695
121,x00,2622
122,search,2615
123,help,2602
124,tmp,2580
125,set,2555
126,o,2552
127,cfg,2530
128,q,2518
129,nsf,2511
130,old,2492
131,htm,2487
132,cs,2478
133,conf,2470
134,sh,2455
135,includes,2441
136,png,2435
137,icon,2428
138,6,2402
139,cirt,2375
140,absolute,2369
141,rfiinc,2365
142,components,2355
143,gif,2352
144,out,2337
145,d,2321
146,w,2320
147,web,2307
148,t,2302
149,20if,2286
150,equiv,2285
151,and,2276
152,new,2275
153,login,2271
154,20then,2270
155,20else,2270
156,20fi,2268
157,bak,2264
158,info,2251
159,22,2250
160,war,2249
161,save,2247
162,ghl9il,2238
163,zz5thkvtmlgl,2234
164,7,2233
165,tzhfyzkbomspvm,2232
166,4dckqcc0acprbz,2232
167,moclyxlwqyfjnp,2232
168,xxpathxx,2223
169,shtml,2215
170,xe3,2214
171,part,2203
172,th,2199
173,tpl,2198
174,ws,2191
175,key,2181
176,java,2171
177,n,2140
178,null,2139
179,ep,2129
180,e,2125
181,pdf,2124
182,temp,2123
183,x09,2103
184,asmx,2097
185,pm,2088
186,cat,2082
187,v2,2070
188,fcgi,2066
189,cnf,2057
190,jpg,2048
191,svn,2048
192,mosconfig,2045
193,cc,2043
194,header,2042
195,manifest,2042
196,bat,2033
197,sfish,2027
198,10,2026
199,modules,2023
200,mdb,2022
201,zip,2019
202,msg,2018
203,vb,2018
204,so,2014
205,csv,2012
206,tab,2007
207,dump,1998
208,8,1995
209,as,1990
